Mixture	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
STP0148	0.07646223789502543	0.00000000000000000	0.02304101133399346	0.00000000000000000	0.01398971901994430	0.02327753750957564	0.00000000000000000	0.06068402348859343	0.00418999415265318	0.03364732804011740	0.00000000000000000	0.00000000000000000	0.08518568413773013	0.14486333091259021	0.02964752258278696	0.23830481317889171	0.00000000000000000	0.00125248346691975	0.00000000000000000	0.04662424237562410	0.00000000000000000	0.02380268078387138	0.00000000000000000	0.05202988825824367	0.00000000000000000	0.04910133285294807	0.09389617001049126	0.00000000000000000	0.98474538508699427	0.40214635242811980
STP0267	0.06997168847089551	0.00000000000000000	0.03760156573675760	0.00000000000000000	0.00000000000000000	0.00938280445607691	0.01200066234350018	0.00000000000000000	0.00768478737558104	0.02746001296093769	0.09440449803092814	0.02047430823719222	0.04466410218005192	0.15064670336769434	0.01223967303724994	0.15842785240755525	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06257577317208778	0.00000000000000000	0.03919177483804261	0.00658507756172012	0.02745907143678251	0.00000000000000000	0.05670947830387404	0.16252016608307224	0.00000000000000000	0.99117342404479558	0.36496365385647717
STP0275	0.06895684397733973	0.00000000000000000	0.04451511563322452	0.00000000000000000	0.00000000000000000	0.00288053301881443	0.03428566276617643	0.01948071010968563	0.00000000000000000	0.03199195810914655	0.11409173424602258	0.02482213177546858	0.05855505784262529	0.12689105039915696	0.01791844222886068	0.16428441722977918	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.12812965117072275	0.00000000000000000	0.03652194310741574	0.00000000000000000	0.00000000000000000	0.00893741743732452	0.05013170207334206	0.06760562887489413	0.00000000000000000	0.95768202175615924	0.50600557900538101
STP0510	0.11801641606783914	0.00545620145458946	0.05509984319520693	0.00000000000000000	0.00000000000000000	0.05257823855297916	0.02126754405612474	0.00000000000000000	0.01246458613278267	0.03184823523354142	0.07552358631172509	0.01246738560365163	0.10746968531063465	0.13103742780986835	0.01499806369580199	0.14522793981176962	0.00000000000000000	0.00011261843014938	0.00000000000000000	0.13773873905549519	0.00000000000000000	0.00939994371494449	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06621171403028392	0.00308183153261221	0.00000000000000000	0.98372020923068293	0.47833022335432041
STP0558	0.08495937049528599	0.00000000000000000	0.01844802870572282	0.00000000000000000	0.00000000000000000	0.01638252029688961	0.05706678132774510	0.00147474414952755	0.01215339816911157	0.03017035587355628	0.08226476335650945	0.01731301131971839	0.08440617470596551	0.10440706744121629	0.01193152816430279	0.20681871714329747	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06797001215137119	0.00000000000000000	0.03888938768840345	0.00952944270917456	0.00000000000000000	0.00000000000000000	0.04666647588941365	0.10914822041278832	0.00000000000000000	0.98803367540724052	0.55168980599061401
STP0583	0.07159592623299799	0.00000000000000000	0.02505525349512056	0.00000000000000000	0.00000000000000000	0.00699143709456319	0.03386988514986137	0.00000000000000000	0.00000000000000000	0.02692594984571683	0.07080847730269156	0.02437629484838616	0.07470812030311715	0.08665039651550234	0.00217586303236050	0.17999315454198897	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07203095074357446	0.00000000000000000	0.03217252557796695	0.01434021991313262	0.00632240424115867	0.00737643645302337	0.07414294647439577	0.19046375823444159	0.00000000000000000	0.97533524970357832	0.61334316698389035
STP0677	0.08496985114873271	0.00000000000000000	0.04747733188338193	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02091574359460282	0.00000000000000000	0.00000000000000000	0.03068232114589493	0.11171505653145114	0.01863960276787798	0.07455876426045562	0.15860831635976086	0.01268405024804524	0.18371705141773978	0.00000000000000000	0.00007656206972637	0.00000000000000000	0.16627669481590038	0.00000000000000000	0.02180643062944413	0.00199042207482894	0.01204781129385716	0.00000000000000000	0.02851433023828849	0.02531965952001136	0.00000000000000000	0.96714096208233624	0.40138345864689140
STP0678	0.10281902627795750	0.00000000000000000	0.00062137443161558	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02112000853541529	0.00000000000000000	0.13145790305559629	0.07533218036307966	0.06173932317263984	0.00000000000000000	0.15623184640578197	0.01026137881057633	0.05140976214589994	0.05975571187553404	0.07026456291603846	0.00303742932358803	0.00000000000000000	0.00000000000000000	0.02266107722606195	0.06278608977240109	0.03427909192647073	0.01222655528038664	0.00057645699980935	0.12136047932586196	0.00205974215528503	0.00000000000000000	0.90653375581679785	0.93730104495086131
STP0692	0.07910093205477013	0.00000000000000000	0.05265663720576577	0.00000000000000000	0.00000000000000000	0.02605899024410079	0.01347655180125411	0.00000000000000000	0.04067681614195547	0.03713638522835405	0.09865113045135765	0.01827465165334995	0.09054953162043332	0.14744301620500663	0.02415287284530964	0.09768924731279044	0.00000000000000000	0.00032870921039509	0.00000000000000000	0.15696545974085599	0.00000000000000000	0.02711441071552531	0.00000000000000000	0.00730248847358602	0.00000000000000000	0.04527268498794745	0.03714948410724231	0.00000000000000000	0.98848426018163171	0.40593557286610060
STP0700	0.10039271784058933	0.00000000000000000	0.03621840986309922	0.00000000000000000	0.00844148016173778	0.02416178823793171	0.02107664165947270	0.00000000000000000	0.00767223685779255	0.03542102058930587	0.05549011156813004	0.01124447212446751	0.09129438919649194	0.15784911899073339	0.03757867661676322	0.21138768435715816	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.07077954336462350	0.00000000000000000	0.01969489531753493	0.00000000000000000	0.00790807678862298	0.00000000000000000	0.01480967886928719	0.08857905759625812	0.00000000000000000	0.97942986604488702	0.37304683933405980
